# frequency_cm-1 intensity
  661.249032 2.683517127377e-02
  662.223589 2.773801430783e-02
  663.198146 2.830645305576e-02
  664.172702 2.851735411404e-02
  665.147259 2.836124745747e-02
  666.121816 2.784298584721e-02
  667.096372 2.698146927174e-02
  668.070929 2.580845818966e-02
  669.045486 2.436658190330e-02
  670.020042 2.270671860463e-02
  670.994599 2.088497368628e-02
  671.969156 1.895950779604e-02
  672.943712 1.698746422483e-02
  673.918269 1.502221840279e-02
  674.892826 1.311112537020e-02
  675.867382 1.129388102938e-02
  676.841939 9.601547700075e-03
  677.816496 8.056231741893e-03
  678.791053 6.671347330321e-03
  679.765609 5.452360509278e-03
  680.740166 4.397883744995e-03
  681.714723 3.500983461686e-03
  682.689279 2.750569610278e-03
  683.663836 2.132753998029e-03
  684.638393 1.632088962566e-03
  685.612949 1.232626000477e-03
  686.587506 9.187615937271e-04
  687.562063 6.758619540450e-04
  688.536619 4.906779378063e-04
  689.511176 3.515751589034e-04
  690.485733 2.486123765732e-04
  691.460289 1.735042231038e-04
  692.434846 1.195033150537e-04
  693.409403 8.123297038600e-05
  694.383959 5.449630959204e-05
  695.358516 3.608146377889e-05
  696.333073 2.357672233873e-05
  697.307630 1.520424579557e-05
  698.282186 9.676726645028e-06
  699.256743 6.078189182429e-06
  700.231300 3.767925032547e-06
  701.205856 2.305224470086e-06
  702.180413 1.391904455690e-06
  703.154970 8.294670511725e-07
  704.129526 4.878786682546e-07
  705.104083 2.833037051446e-07
  706.078640 1.625519790549e-07
  707.053196 9.243698996595e-08
  708.027753 5.264819266965e-08
  709.002310 3.109342811814e-08
  709.976866 2.096129861732e-08
  710.951423 1.899172467292e-08
  711.925980 2.463676757194e-08
  712.900536 3.995740813488e-08
  713.875093 7.025201986941e-08
  714.849650 1.255671389733e-07
  715.824207 2.234207719789e-07
  716.798763 3.932944367770e-07
  717.773320 6.837452025534e-07
  718.747877 1.173376077443e-06
  719.722433 1.987402668485e-06
  720.696990 3.322179741484e-06
  721.671547 5.480803147934e-06
  722.646103 8.923757599830e-06
  723.620660 1.433948136594e-05
  724.595217 2.274055990819e-05
  725.569773 3.559187654286e-05
  726.544330 5.497720556078e-05
  727.518887 8.381012892600e-05
  728.493443 1.260934324423e-04
  729.468000 1.872279070429e-04
  730.442557 2.743663911404e-04
  731.417113 3.968016948487e-04
  732.391670 5.663677094583e-04
  733.366227 7.978218102834e-04
  734.340784 1.109164321125e-03
  735.315340 1.521838543898e-03
  736.289897 2.060744412761e-03
  737.264454 2.753992408831e-03
  738.239010 3.632324441168e-03
  739.213567 4.728137398018e-03
  740.188124 6.074064980076e-03
  741.162680 7.701105280092e-03
  742.137237 9.636324968158e-03
  743.111794 1.190022364087e-02
  744.086350 1.450389962050e-02
  745.060907 1.744621503577e-02
  746.035464 2.071120569580e-02
  747.010020 2.426601177040e-02
  747.984577 2.805961083353e-02
  748.959134 3.202260950073e-02
  749.933690 3.606829096489e-02
  750.908247 4.009502468953e-02
  751.882804 4.399002757045e-02
  752.857361 4.763433379093e-02
  753.831917 5.090869772615e-02
  754.806474 5.370003685330e-02
  755.781031 5.590793563727e-02
  756.755587 5.745069002097e-02
  757.730144 5.827038377512e-02
  758.704701 5.833655437958e-02
  759.679257 5.764812197784e-02
  760.653814 5.623340820356e-02
  761.628371 5.414824503646e-02
  762.602927 5.147234717036e-02
  763.577484 4.830427452177e-02
  764.552041 4.475542716813e-02
  765.526597 4.094358109275e-02
  766.501154 3.698648428717e-02
  767.475711 3.299599087320e-02
  768.450267 2.907312434650e-02
  769.424824 2.530434314545e-02
  770.399381 2.175914857762e-02
  771.373938 1.848904305987e-02
  772.348494 1.552773008067e-02
  773.323051 1.289235706360e-02
  774.297608 1.058554456495e-02
  775.272164 8.597921340033e-03
  776.246721 6.910891857358e-03
  777.221278 5.499394718083e-03
  778.195834 4.334459179322e-03
  779.170391 3.385424123366e-03
  780.144948 2.621741595432e-03
  781.119504 2.014339236137e-03
  782.094061 1.536558359877e-03
  783.068618 1.164714970272e-03
  784.043174 8.783494204949e-04
  785.017731 6.602379198802e-04
  785.992288 4.962377765029e-04
  786.966844 3.750306723002e-04
  787.941401 2.878168952785e-04
  788.915958 2.280004798387e-04
  789.890515 1.908923170780e-04
  790.865071 1.734466414953e-04
  791.839628 1.740365408103e-04
  792.814185 1.922665521100e-04
  793.788741 2.288150269049e-04
  794.763298 2.852956618264e-04
